"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41910","Should select the PIX payment group on the o2o order form","Checkout payment - PIX","2026-08-28","passed","2026-08-28","","","",""
"","19456","Should skip mapfre insurance and reach VTEX checkout without an insurance line","PDP - insurance modal","2026-08-28","passed","2026-08-28","","","",""
"","7760","Should apply CEP on the magalu PDP","PDP - shipping on physical offers","2026-08-28","passed","2026-08-28","","","",""
"","26457","Should leave the o2o minicart for the VTEX checkout URL","Minicart - go to checkout","2026-08-28","passed","2026-08-28","","","",""
"","35954","Should show the o2o product on the VTEX IO cart","Checkout cart - items","2026-08-28","passed","2026-08-28","","","",""
"","10213","Should apply CEP on the seller3p PDP","PDP - shipping on physical offers","2026-08-28","passed","2026-08-28","","","",""
"","11543","Should apply CEP on the o2o PDP","PDP - shipping on physical offers","2026-08-28","passed","2026-08-28","","","",""
"","13166","Should show the o2o item and summary in the FastStore sidebar","Minicart - item after buy","2026-08-28","passed","2026-08-28","","","",""
"","5539","Should apply CEP on the mapfre PDP","PDP - shipping on physical offers","2026-08-28","passed","2026-08-28","","","",""
"","25259","Should show a second cart line for mapfre insurance","Checkout cart - insurance line","2026-08-28","passed","2026-08-28","","","",""
"","26400","Should continue from the o2o VTEX cart to the order form","Checkout cart - continue to order form","2026-08-28","passed","2026-08-28","","","",""
"","13602","Should show seller3p name and a non-1P seller on the cart item","Minicart - marketplace seller","2026-08-28","passed","2026-08-28","","","",""
"","25192","Should add mapfre with insurance and reach VTEX checkout","PDP - insurance modal","2026-08-28","passed","2026-08-28","","","",""
"","13850","Should confirm the o2o buy modal on the PDP","PDP - add to cart","2026-08-28","passed","2026-08-28","","","",""
"","26173","Should show shipping options for a physical o2o item","Checkout cart - shipping visibility","2026-08-28","passed","2026-08-28","","","",""
"","22495","Should show the magalu name on the VTEX cart line","Checkout cart - marketplace item","2026-08-28","passed","2026-08-28","","","",""
"","10309","Should show magalu name and a non-1P seller on the cart item","Minicart - marketplace seller","2026-08-28","passed","2026-08-28","","","",""
"","26023","Should show the seller3p name on the VTEX cart line","Checkout cart - marketplace item","2026-08-28","passed","2026-08-28","","","",""
"","226","Should expose catalog keys, types, urls, and type-specific fields","PDP - open product","2026-08-28","skipped","2026-08-28","","PDP - open product","",""
"","8288","Should open the o2o PDP with price and Comprar enabled","PDP - open product","2026-08-28","passed","2026-08-28","","PDP - open product","",""
"","25189","Should keep shipping options hidden for giftcard","Checkout cart - shipping visibility","2026-08-28","passed","2026-08-28","","","",""
"","10283","Should confirm the giftcard buy modal on the PDP","PDP - add to cart","2026-08-28","passed","2026-08-28","","","",""
